# file = "data/output_0.csv"
# samples = 1000
# randomize = 1
# -----
outcome,length,chain
"Success",3,"9;10;9"
"Fail",15,"4;9;10;6;3;8;10;10;11;2;9;2;10;6;7"
"Success",1,"7"
"Success",1,"7"
"Success",13,"10;5;12;4;9;8;6;12;12;5;9;8;10"
"Success",1,"7"
"Fail",1,"12"
"Success",5,"5;8;11;6;5"
"Success",4,"8;9;6;8"
"Fail",1,"12"
"Success",1,"7"
"Success",1,"7"
"Success",1,"7"
"Fail",3,"8;6;7"
"Success",1,"7"
"Fail",4,"9;5;11;7"
"Fail",2,"10;7"
"Success",1,"7"
"Success",2,"8;8"
"Fail",6,"6;8;11;3;8;7"
"Fail",1,"2"
"Success",1,"7"
"Success",7,"8;6;12;12;5;9;8"
"Fail",8,"10;8;4;8;9;5;9;7"
"Success",5,"4;5;6;6;4"
"Success",1,"7"
"Fail",2,"6;7"
"Success",2,"4;4"
"Success",2,"9;9"
"Fail",3,"5;3;7"
"Fail",10,"5;4;6;10;6;4;8;9;6;7"
"Success",1,"7"
"Fail",1,"3"
"Fail",14,"5;12;6;9;9;4;10;10;9;9;4;8;3;7"
"Success",1,"7"
"Fail",4,"8;11;6;7"
"Fail",8,"5;4;8;11;8;9;12;7"
"Success",1,"7"
"Success",10,"8;6;6;6;5;4;6;6;6;8"
"Success",1,"11"
"Success",3,"9;6;9"
"Fail",5,"10;8;3;5;7"
"Fail",2,"9;7"
"Success",1,"7"
"Success",9,"4;11;6;10;9;6;6;5;4"
"Success",1,"7"
"Fail",9,"9;4;6;8;6;5;5;5;7"
"Success",1,"7"
"Fail",4,"9;3;6;7"
"Fail",3,"6;3;7"
"Success",1,"11"
"Success",6,"9;6;6;6;11;9"
"Fail",5,"10;3;8;9;7"
"Success",9,"4;5;6;11;5;9;8;10;4"
"Success",3,"6;9;6"
"Fail",4,"9;5;3;7"
"Success",3,"8;6;8"
"Success",1,"7"
"Success",13,"5;10;6;10;8;6;6;3;3;9;6;3;5"
"Fail",4,"4;6;5;7"
"Fail",4,"8;3;6;7"
"Success",1,"11"
"Success",13,"8;6;3;6;9;6;9;11;9;9;5;10;8"
"Fail",1,"12"
"Fail",11,"9;10;8;5;11;10;11;6;10;5;7"
"Fail",1,"2"
"Success",1,"7"
"Fail",6,"10;6;8;6;4;7"
"Success",1,"7"
"Success",2,"6;6"
"Success",1,"11"
"Success",1,"7"
