# file = "data/output_9.csv"
# samples = 1000
# randomize = 10
# -----
outcome,length,chain
"Success",17,"4;10;8;3;11;10;6;5;6;5;5;10;8;9;3;9;4"
"Fail",1,"3"
"Success",7,"4;6;10;5;12;9;4"
"Fail",6,"8;9;6;5;6;7"
"Success",1,"7"
"Success",1,"11"
"Fail",6,"8;11;4;10;6;7"
"Fail",5,"5;6;4;8;7"
"Success",1,"7"
"Success",1,"7"
"Success",1,"7"
"Fail",5,"5;9;10;11;7"
"Success",1,"7"
"Fail",1,"3"
"Fail",6,"6;8;3;10;9;7"
"Success",5,"9;3;10;3;9"
"Fail",8,"10;9;6;6;6;8;8;7"
"Fail",2,"5;7"
"Success",3,"10;9;10"
"Fail",2,"10;7"
"Success",3,"9;5;9"
"Fail",3,"6;8;7"
"Fail",1,"12"
"Success",4,"5;9;8;5"
"Success",9,"4;3;9;8;12;5;6;9;4"
"Fail",8,"8;5;12;5;11;4;10;7"
"Fail",2,"6;7"
"Fail",1,"2"
"Success",1,"11"
"Success",1,"7"
"Success",1,"11"
"Fail",2,"5;7"
"Success",1,"11"
"Success",1,"7"
"Fail",3,"9;4;7"
"Fail",1,"3"
"Fail",5,"6;5;3;4;7"
"Fail",1,"3"
"Fail",4,"6;5;4;7"
"Success",2,"5;5"
"Fail",3,"5;8;7"
"Success",6,"9;5;8;5;3;9"
"Success",1,"7"
"Fail",1,"3"
"Success",1,"7"
"Fail",4,"4;2;5;7"
"Success",7,"6;9;9;5;12;3;6"
"Success",1,"7"
"Success",4,"5;6;6;5"
"Success",3,"8;4;8"
"Fail",3,"9;6;7"
"Success",1,"7"
"Fail",6,"8;10;10;9;5;7"
"Fail",2,"8;7"
"Success",10,"8;6;10;12;10;10;5;10;5;8"
"Fail",6,"6;8;10;5;11;7"
"Fail",4,"6;8;9;7"
"Fail",9,"4;5;5;6;10;11;9;6;7"
"Fail",3,"9;10;7"
"Fail",1,"3"
"Fail",1,"2"
"Success",1,"7"
"Fail",10,"5;4;8;8;9;8;8;9;8;7"
"Success",2,"8;8"
"Fail",6,"10;8;6;3;3;7"
"Success",1,"7"
"Fail",16,"9;6;12;4;4;10;3;10;6;6;3;11;8;11;4;7"
"Fail",3,"6;2;7"
"Fail",2,"6;7"
"Success",2,"6;6"
"Success",2,"6;6"
"Success",2,"9;9"
"Fail",1,"3"
"Success",6,"8;4;6;11;10;8"
"Fail",6,"8;9;9;5;10;7"
"Success",5,"4;9;9;11;4"
"Fail",4,"9;10;10;7"
"Success",2,"6;6"
"Success",5,"6;10;2;9;6"
"Fail",2,"4;7"
"Fail",4,"9;8;12;7"
"Fail",3,"6;5;7"
"Fail",3,"4;3;7"
"Fail",6,"10;6;4;8;3;7"
"Fail",5,"8;5;11;12;7"
"Fail",1,"3"
"Fail",3,"5;8;7"
"Fail",3,"8;5;7"
"Success",1,"7"
"Fail",5,"10;6;6;5;7"
"Success",1,"7"
"Success",1,"7"
"Success",1,"7"
"Fail",3,"9;8;7"
"Fail",2,"6;7"
