# file = "data/ch14/sample_5.csv"
# samples = 1000
# randomize = 6
# -----
outcome,length,chain
"Fail",2,"9;7"
"Fail",1,"2"
"Fail",4,"8;10;6;7"
"Success",1,"7"
"Success",1,"7"
"Fail",4,"6;2;9;7"
"Fail",3,"4;8;7"
"Fail",2,"6;7"
"Success",3,"5;6;5"
"Success",1,"7"
"Success",2,"4;4"
"Success",8,"8;9;5;4;2;5;10;8"
"Success",3,"10;9;10"
"Success",11,"8;3;6;3;12;5;9;4;3;12;8"
"Success",1,"7"
"Fail",1,"12"
"Fail",3,"6;3;7"
"Success",2,"5;5"
"Success",3,"6;8;6"
"Success",1,"11"
"Success",5,"4;6;6;10;4"
"Fail",1,"12"
"Success",2,"10;10"
"Fail",6,"5;6;6;2;6;7"
"Fail",4,"6;2;10;7"
"Success",5,"4;10;2;9;4"
"Success",9,"8;10;5;6;3;12;4;9;8"
"Success",1,"7"
"Fail",6,"4;3;3;5;6;7"
"Fail",10,"9;5;8;8;11;2;4;11;4;7"
"Success",1,"7"
"Fail",2,"5;7"
"Success",1,"7"
"Fail",4,"8;10;6;7"
"Success",4,"6;8;8;6"
"Success",2,"5;5"
"Success",1,"11"
"Success",1,"7"
"Success",5,"9;6;5;3;9"
"Fail",8,"5;12;9;3;12;6;6;7"
"Fail",1,"3"
"Fail",2,"8;7"
"Success",3,"5;11;5"
"Success",1,"7"
"Success",2,"8;8"
"Success",6,"5;4;12;9;9;5"
"Success",3,"10;5;10"
"Fail",1,"12"
"Success",3,"6;4;6"
"Success",3,"5;6;5"
"Fail",7,"6;4;4;12;3;8;7"
"Fail",18,"4;8;5;2;10;11;6;3;8;6;5;8;11;9;5;11;10;7"
"Success",1,"11"
"Fail",2,"6;7"
"Success",2,"9;9"
"Success",7,"6;12;5;10;3;9;6"
"Fail",7,"9;11;8;10;6;4;7"
"Fail",5,"5;9;8;6;7"
"Fail",13,"8;11;4;4;9;10;10;5;11;9;10;5;7"
"Fail",7,"10;3;6;9;5;9;7"
"Fail",2,"8;7"
"Fail",1,"2"
"Success",1,"7"
"Fail",6,"4;5;5;3;8;7"
"Success",2,"8;8"
"Fail",6,"8;5;2;9;9;7"
"Fail",4,"4;11;3;7"
"Success",1,"7"
"Fail",4,"5;3;11;7"
"Success",3,"9;10;9"
"Fail",1,"2"
"Success",7,"5;3;8;9;9;8;5"
"Success",2,"9;9"
"Fail",8,"5;11;4;8;8;4;8;7"
"Fail",2,"8;7"
"Success",1,"7"
"Fail",3,"6;10;7"
"Success",1,"7"
"Fail",1,"3"
"Success",1,"7"
"Fail",6,"4;6;5;5;10;7"
"Success",3,"8;6;8"
"Fail",1,"3"
"Fail",1,"2"
"Fail",2,"6;7"
"Fail",2,"6;7"
